conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/76842746-cacb-4e6d-adc6-0656d75c9c51,používat CAD nástroje na podpatky,released,skill/competence,sector-specific,,"Digitalizovat a skenovat ševcovská kopyta. Pracovat se soubory v různých systémech CAD. Vyrábět 3D modely podpatků a vytvářet 2D počítačem podporované návrhy. Klasifikovat a získat velikostní řadu. Připravit technické specifikace pro výrobu. Vyrábět 2D a 3D počítačem podporované technické návrhy a technické výkresy forem pro vulkanizované a vstřikované podpatky. Exportovat soubory virtuálních modelů do 3D tiskáren, CAM nebo CNC systémů.",http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,používat nástroje pro projektování pomocí počítače (cad) a počítačové rýsovací nástroje
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/768fe91b-ccde-4649-94f3-07be5d8b6be1,číst a správně interpretovat 3D displeje,released,skill/competence,cross-sector,,"Číst 3D displeje a rozumět informacím, které poskytují o polohách, vzdálenostech a dalších parametrech.",http://data.europa.eu/esco/skill/316df5b7-31c4-4f4e-ae69-aad1b873b995,interpretovat technickou dokumentaci a schémata
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/76ef6ed3-1658-4a1a-9593-204d799c6d0c,NoSQL,released,knowledge,sector-specific,,"Nevztahová databáze Not Only SQL pro vytváření, aktualizaci a správu velkého množství nestrukturovaných dat uložených v cloudu.",http://data.europa.eu/esco/isced-f/0612 | http://data.europa.eu/esco/skill/ab1e97ed-2319-4293-a8b7-072d2648822f,vytváření a správa databází a sítí | systémy řízení databází
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/770d4956-b5e0-4d44-bf42-3a766b232c5d,zřídit hlavní projektové úložiště,released,skill/competence,cross-sector,,"Uložit projektové soubory a projektovou dokumentaci na hlavní úložiště, které je přístupné projektovým manažerům a všem projektovým týmům. Používat dostupné elektronické nástroje a příslušný software.
   ",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,spravovat informace
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/772a9c72-abef-4333-9788-f4cb48ad8e08,"určit software pro správu skladu, určit software pro řízení skladových zásob",released,skill/competence,cross-sector,,"Určit příslušný software a aplikace používané pro systém skladového hospodářství a jejich vlastnosti a přidanou hodnotu pro operace skladového hospodářství.
   ",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,používat digitální nástroje pro spolupráci a produktivitu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/77592603-505b-4096-97dd-d0def6bd7601,výpočetní dynamika kapalin,released,knowledge,cross-sector,,"Zásady mechaniky tekutin řízené počítačem, která určuje chování kapalin v pohybu. ",http://data.europa.eu/esco/isced-f/0611 | http://data.europa.eu/esco/skill/87b1c959-236d-4761-b3be-b1c729497f75,užití počítačů | mechanika tekutin
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/778ca7ad-6c5d-4868-9b96-a7777dca799c,platformy nápovědy ICT,released,knowledge,sector-specific,platformy nápovědy IKT | platformy nápovědy pro informační a komunikační sítě | platforma nápovědy ICT | platformy nápovědy pro IT sítě,Platformy pro poskytování asistenčních systémů pro operační systémy.,http://data.europa.eu/esco/isced-f/0611,užití počítačů
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/77bf865e-6360-424f-9d77-ce03918c7dcf,navrhovat desky plošných spojů,released,skill/competence,cross-sector,,"Navrhovat desky plošných spojů používané v elektronických výrobcích, jako jsou mobilní telefony a počítače, a zajistit, aby do návrhu byly začleněny integrované obvody a mikročipy.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,navrhovat elektrické nebo elektronické systémy a zařízení
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7814e88f-c133-4c3b-b27f-857afa145d42,právní předpisy týkající se bezpečnosti ICT,released,knowledge,sector-specific,právní předpisy týkající se bezpečnosti IKT | právní předpis týkající se bezpečnosti ICT | legislativa z oblasti zabezpečení IT sítí | legislativa z oblasti bezpečnosti ICT,"Soubor právních předpisů, které zabezpečují informační technologie, sítě ICT a počítačové systémy, a právní důsledky vyplývající z jejich zneužití. Mezi regulovaná opatření patří firewally, detekce narušení, antivirové programy a šifrování.",http://data.europa.eu/esco/isced-f/0421,právo
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/78a74fd1-efc6-49dc-adb1-1b0fbe35c22c,poskytovat dokumentaci o testování softwaru,released,skill/competence,sector-specific,poskytovat dokumentaci o softwarových testech | předkládat dokumentaci o testování softwaru | poskytnout dokumentaci o testování softwaru | poskytovat doklady o softwarových testech,Popsat postupy testování softwaru technickému týmu a analýzu výsledků testu uživatelům a klientům s cílem informovat je o stavu a účinnosti softwaru.,http://data.europa.eu/esco/skill/385479b7-5da5-4367-9763-0d15b41bb65b | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe | http://data.europa.eu/esco/skill/2636b3d3-843e-46a9-8b4c-a9d6ca3f5a2d,poskytovat uživatelskou dokumentaci | psát technické nebo vědecké texty | zajistit dokumentaci
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/78b26c92-da70-4c72-9f10-7a8c8b9db02e,používat internet ke zvýšení prodeje,released,skill/competence,sector-specific,,"Propagovat zboží a služby prostřednictvím používání internetových systémů, jako je elektronická komerce, mobilní komerce a sociální média, s cílem zvýšit prodej.",http://data.europa.eu/esco/skill/efb60300-0d55-4b2c-8038-8409587a4727,"propagovat výrobky, služby nebo programy"
