ESCOURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,DESCRIPTION
http://data.europa.eu/esco/isced-f/05,key_17609,c077ff58-93b2-4d1a-a1a8-495b8f9c2594,,"přírodní vědy, matematika a statistika",
http://data.europa.eu/esco/isced-f/050,key_17610,dbbd3aed-92de-453d-a10f-d8232e4a33b3,,"přírodní vědy, matematika a statistika dále nedefinované",
http://data.europa.eu/esco/isced-f/0500,key_17611,c946d107-f988-4210-baab-12fb3c1402d1,,"přírodní vědy, matematika a statistika dále nedefinované",
http://data.europa.eu/esco/isced-f/051,key_17612,71a2784b-ceca-47e7-a3d6-f548ea714c3b,,biologické a příbuzné vědy,
http://data.europa.eu/esco/isced-f/0510,key_17613,0aa5b1d6-9da8-4b33-b6e1-c75d868376e7,,biologické a příbuzné vědy dále nedefinované,
http://data.europa.eu/esco/isced-f/0511,key_17614,81948a63-65bd-4ff0-9a86-b5ba37646416,,biologie,
http://data.europa.eu/esco/isced-f/0512,key_17615,d868415b-5b33-4052-a332-06b59caf1bfc,,biochemie,
http://data.europa.eu/esco/isced-f/0519,key_17616,88680f4d-3623-4aab-89f7-0fdf3dd4ef40,,biologie a příbuzné vědy jinde neklasifikované,
http://data.europa.eu/esco/isced-f/052,key_17617,d6409cd3-9ba4-4b09-9ec0-0f9793e56020,,životní prostředí,
http://data.europa.eu/esco/isced-f/0520,key_17618,b4a7194d-fe7b-4af9-a1b3-10636c609d4f,,životní prostředí dále nedefinované,
http://data.europa.eu/esco/isced-f/0521,key_17619,9b6151e9-b901-4013-bf95-355da9decd2c,,vědy o životním prostředí,
http://data.europa.eu/esco/isced-f/0522,key_17620,3c92db65-be8b-48ce-bbd1-d9effa430677,,přírodní prostředí a přirozené formy života,
http://data.europa.eu/esco/isced-f/0529,key_17621,80b9edc8-1d79-4a91-924e-da6a49f8c6e2,,životní prostředí jinde neklasifikované,
http://data.europa.eu/esco/isced-f/053,key_17622,42f8aa2d-1a1c-4407-a0d0-187e699f8f37,,fyzikální vědy,
http://data.europa.eu/esco/isced-f/0530,key_17623,a05f94be-5a9d-4ef0-9b24-f0e0382da8e3,,fyzikální vědy dále nedefinované,
http://data.europa.eu/esco/isced-f/0531,key_17624,b7e60470-047c-42aa-9329-a4d60a02b50d,,chemie,
http://data.europa.eu/esco/isced-f/0532,key_17625,59baae69-c75f-4617-9144-88092a37b4d9,,vědy o zemi,
http://data.europa.eu/esco/isced-f/0533,key_17626,608dc18d-1f3d-4ca6-9780-8fa27a94df73,,fyzika,
http://data.europa.eu/esco/isced-f/0539,key_17627,6f0d6027-d43f-4359-9bbc-082da71236b1,,fyzikální vědy jinde neklasifikované,
http://data.europa.eu/esco/isced-f/054,key_17628,44044cc7-4719-4a4f-b5d7-6a8d2a139753,,matematika a statistika,
http://data.europa.eu/esco/isced-f/0540,key_17629,63d616c5-c3e5-4f7b-b294-a5dcbf3329b7,,matematika a statistika dále nedefinované,
http://data.europa.eu/esco/isced-f/0541,key_17630,cba95584-f25e-4703-a62c-1c35d2ff94ae,,matematika,
http://data.europa.eu/esco/isced-f/0542,key_17631,b4c5afc2-f4f9-4d38-b3e7-be3d5046118d,,statistika,
http://data.europa.eu/esco/isced-f/058,key_17632,472357df-3d1c-4681-adc4-82c448baabec,,"interdisciplinární programy a kvalifikace zahrnující přírodní vědy, matematiku a statistiku",
http://data.europa.eu/esco/isced-f/0588,key_17633,91a3a25f-207b-4e34-b684-da33b0e38d94,,"interdisciplinární programy a kvalifikace zahrnující přírodní vědy, matematiku a statistiku",
http://data.europa.eu/esco/isced-f/059,key_17634,0dd327a9-305d-47f3-bf3b-f6366faa00d1,,"přírodní vědy, matematika a statistika jinde neklasifikované",
http://data.europa.eu/esco/isced-f/0599,key_17635,f73f26a1-06e2-4d38-a8bd-58dbcefdad53,,"přírodní vědy, matematika a statistika jinde neklasifikované",
http://data.europa.eu/esco/isced-f/06,key_17636,877a2493-27c4-4e6d-b0ed-73f7841f9a74,,informační a komunikační technologie (ikt),
http://data.europa.eu/esco/isced-f/061,key_17637,03257e26-82f4-44e6-9cd3-5c1c39cb3202,,informační a komunikační technologie (ikt),
http://data.europa.eu/esco/isced-f/0610,key_17638,ac6a9420-7772-4a43-8ab2-126a662dcefe,,informační a komunikační technologie (ikt) dále nedefinované,
http://data.europa.eu/esco/isced-f/0611,key_17639,08e17739-de43-452d-81b5-080033a4cc25,,užití počítačů,
