ESCOURI,ID,UUIDHISTORY,PREFERREDLABEL,CODE
http://data.europa.eu/esco/isco/C2141,key_72,4d075c1b-5ef5-4673-8a34-f6aef9c6018a,Inženýři v průmyslu a ve výrobě,2141
http://data.europa.eu/esco/isco/C2142,key_73,bbfef837-bec8-4e1a-9252-cae3cd1dfc59,Stavební inženýři,2142
http://data.europa.eu/esco/isco/C2143,key_74,a2d10c5a-20f7-4e0c-8a1a-8c874575b5bd,Specialisté v oblasti průmyslové ekologie,2143
http://data.europa.eu/esco/isco/C2144,key_75,04c82c92-c462-4d6f-8dcc-b98534e5bd15,Strojní inženýři,2144
http://data.europa.eu/esco/isco/C2145,key_76,af5992ef-825e-4eab-8382-454d0b1fba91,Chemičtí inženýři a specialisté v příbuzných oborech,2145
http://data.europa.eu/esco/isco/C2146,key_77,228876d0-6d8b-487f-8a8c-0999906b06af,Důlní a hutní inženýři a specialisté v příbuzných oborech,2146
http://data.europa.eu/esco/isco/C2149,key_78,6c834e02-1065-4d40-86fb-769c5490ec5c,Specialisté v oblasti techniky (kromě elektrotechniky) jinde neuvedení,2149
http://data.europa.eu/esco/isco/C215,key_79,85d61714-b1f8-49f9-8b66-9b4acfbfa77f,"Specialisté v oblasti elektrotechniky, elektroniky a elektronických komunikací",215
http://data.europa.eu/esco/isco/C2151,key_80,7be8a2a9-deeb-4ade-a610-8963e0cbbe90,Inženýři elektrotechnici a energetici,2151
http://data.europa.eu/esco/isco/C2152,key_81,9aca71f9-6090-4fa7-8ce8-a430bc2001c5,Inženýři elektronici,2152
http://data.europa.eu/esco/isco/C2153,key_82,cc25e2b6-73c5-4228-ad6f-59dc5f647902,Inženýři v oblasti elektronických komunikací,2153
http://data.europa.eu/esco/isco/C216,key_83,b6b5d80d-2f26-40c7-822a-25e83d05ab1a,"Architekti, specialisté v oblasti územního plánování, návrháři a příbuzní pracovníci",216
http://data.europa.eu/esco/isco/C2161,key_84,8b1ffa93-52b6-4654-accb-a5df9294d6aa,Stavební architekti,2161
http://data.europa.eu/esco/isco/C2162,key_85,afdf282f-4f69-4b9f-8b17-a1742dc49cf8,Zahradní a krajinní architekti,2162
http://data.europa.eu/esco/isco/C2163,key_86,47d00149-7c8d-4475-8857-5fcaf4543243,Návrháři výrobků a produktů,2163
http://data.europa.eu/esco/isco/C2164,key_87,8752910f-5e41-4b23-ab93-86b835d1b606,Specialisté v oblasti územního a dopravního plánování,2164
http://data.europa.eu/esco/isco/C2165,key_88,b528ebe9-8c0f-46b0-8963-630949d9d2de,Kartografové a zeměměřiči,2165
http://data.europa.eu/esco/isco/C2166,key_89,9e09dc2c-6612-4c39-900d-26a3da3f7566,Grafici a výtvarníci v multimédiích,2166
http://data.europa.eu/esco/isco/C22,key_90,6540b9ea-207d-4149-9831-00920fc5301e,Specialisté v oblasti zdravotnictví,22
