PARENTOBJECTTYPE,PARENTID,CHILDID,CHILDOBJECTTYPE
SkillGroup,key_17875,key_17951,SkillGroup
SkillGroup,key_18090,key_17952,SkillGroup
SkillGroup,key_17827,key_17953,SkillGroup
SkillGroup,key_17749,key_17954,SkillGroup
SkillGroup,key_17882,key_17955,SkillGroup
SkillGroup,key_17752,key_17956,SkillGroup
SkillGroup,key_18039,key_17957,SkillGroup
SkillGroup,key_17760,key_17958,SkillGroup
SkillGroup,key_17880,key_17959,SkillGroup
SkillGroup,key_17998,key_17960,SkillGroup
SkillGroup,key_17806,key_17961,SkillGroup
SkillGroup,key_18031,key_17962,SkillGroup
SkillGroup,key_18105,key_17963,SkillGroup
SkillGroup,key_17831,key_17964,SkillGroup
SkillGroup,key_17874,key_17965,SkillGroup
SkillGroup,key_17897,key_17966,SkillGroup
SkillGroup,key_18126,key_17967,SkillGroup
SkillGroup,key_17759,key_17968,SkillGroup
SkillGroup,key_17859,key_17969,SkillGroup
SkillGroup,key_18090,key_17970,SkillGroup
SkillGroup,key_18036,key_17971,SkillGroup
SkillGroup,key_18031,key_17972,SkillGroup
SkillGroup,key_17760,key_17973,SkillGroup
SkillGroup,key_18105,key_17974,SkillGroup
SkillGroup,key_17782,key_17975,SkillGroup
SkillGroup,key_17801,key_17976,SkillGroup
SkillGroup,key_17810,key_17977,SkillGroup
SkillGroup,key_17819,key_17978,SkillGroup
SkillGroup,key_18141,key_17979,SkillGroup
SkillGroup,key_17874,key_17980,SkillGroup
SkillGroup,key_17910,key_17981,SkillGroup
SkillGroup,key_17788,key_17982,SkillGroup
SkillGroup,key_17923,key_17983,SkillGroup
SkillGroup,key_17855,key_17984,SkillGroup
SkillGroup,key_18064,key_17985,SkillGroup
SkillGroup,key_18144,key_17986,SkillGroup
SkillGroup,key_17745,key_17987,SkillGroup
SkillGroup,key_17880,key_17988,SkillGroup
SkillGroup,key_17882,key_17989,SkillGroup
SkillGroup,key_17994,key_17990,SkillGroup
SkillGroup,key_17828,key_17991,SkillGroup
SkillGroup,key_18144,,SkillGroup
SkillGroup,key_18126,key_17992,SkillGroup
SkillGroup,key_17788,key_17993,SkillGroup
SkillGroup,key_17964,key_17994,SkillGroup
SkillGroup,key_18073,key_17995,SkillGroup
SkillGroup,key_18113,,SkillGroup
SkillGroup,key_17880,key_17996,SkillGroup
SkillGroup,key_18041,key_17997,SkillGroup
SkillGroup,key_17831,key_17998,SkillGroup
SkillGroup,key_17890,key_17999,SkillGroup
SkillGroup,key_17827,key_18000,SkillGroup
SkillGroup,key_18121,key_18001,SkillGroup
SkillGroup,key_17816,key_18002,SkillGroup
SkillGroup,key_17819,key_18003,SkillGroup
SkillGroup,key_18031,key_18004,SkillGroup
SkillGroup,key_18072,key_18005,SkillGroup
SkillGroup,key_18102,key_18006,SkillGroup
SkillGroup,key_18069,key_18007,SkillGroup
SkillGroup,key_18102,key_18008,SkillGroup
SkillGroup,key_17941,key_18009,SkillGroup
SkillGroup,key_18048,key_18010,SkillGroup
SkillGroup,key_17941,key_18011,SkillGroup
SkillGroup,key_17819,key_18012,SkillGroup
SkillGroup,key_18094,key_18013,SkillGroup
SkillGroup,key_17801,key_18014,SkillGroup
SkillGroup,key_17746,key_18015,SkillGroup
SkillGroup,key_17938,key_18016,SkillGroup
SkillGroup,key_17963,key_18017,SkillGroup
SkillGroup,key_18069,key_18018,SkillGroup
SkillGroup,key_18105,key_18019,SkillGroup
SkillGroup,key_18048,key_18020,SkillGroup
SkillGroup,key_17855,key_18021,SkillGroup
SkillGroup,key_18031,key_18022,SkillGroup
SkillGroup,key_17823,key_18023,SkillGroup
SkillGroup,key_17810,key_18024,SkillGroup
SkillGroup,key_18073,key_18025,SkillGroup
SkillGroup,key_17759,key_18026,SkillGroup
SkillGroup,key_18144,key_18027,SkillGroup
SkillGroup,key_17828,key_18028,SkillGroup
SkillGroup,key_17759,key_18029,SkillGroup
SkillGroup,key_18036,key_18030,SkillGroup
SkillGroup,key_18105,key_18031,SkillGroup
SkillGroup,key_17859,key_18032,SkillGroup
SkillGroup,key_18079,key_18033,SkillGroup
SkillGroup,key_18084,key_18034,SkillGroup
SkillGroup,key_17807,key_18035,SkillGroup
SkillGroup,key_18066,key_18036,SkillGroup
SkillGroup,key_18002,key_18037,SkillGroup
SkillGroup,key_17939,key_18038,SkillGroup
SkillGroup,key_17749,key_18039,SkillGroup
SkillGroup,key_18112,key_18040,SkillGroup
SkillGroup,key_17752,key_18041,SkillGroup
SkillGroup,key_17828,key_18042,SkillGroup
SkillGroup,key_18105,key_18043,SkillGroup
SkillGroup,key_17841,key_18044,SkillGroup
SkillGroup,key_17964,key_18045,SkillGroup
SkillGroup,key_18039,key_18046,SkillGroup
SkillGroup,key_17801,key_18047,SkillGroup
SkillGroup,key_18105,key_18048,SkillGroup
SkillGroup,key_17874,key_18049,SkillGroup
SkillGroup,key_17865,key_18050,SkillGroup
SkillGroup,key_17938,key_18051,SkillGroup
SkillGroup,key_17865,key_18052,SkillGroup
SkillGroup,key_17964,key_18053,SkillGroup
SkillGroup,key_17828,key_18054,SkillGroup
SkillGroup,key_17938,key_18055,SkillGroup
SkillGroup,key_18144,key_18056,SkillGroup
SkillGroup,key_17923,key_18057,SkillGroup
SkillGroup,key_17759,key_18058,SkillGroup
SkillGroup,key_18064,key_18059,SkillGroup
SkillGroup,key_18073,key_18061,SkillGroup
SkillGroup,key_17910,key_18062,SkillGroup
SkillGroup,key_17938,key_18063,SkillGroup
SkillGroup,key_17760,key_18064,SkillGroup
SkillGroup,key_17798,key_18065,SkillGroup
SkillGroup,key_17831,key_18066,SkillGroup
SkillGroup,key_17810,key_18067,SkillGroup
SkillGroup,key_18045,key_18068,SkillGroup
SkillGroup,key_18105,key_18069,SkillGroup
SkillGroup,key_17874,key_18070,SkillGroup
SkillGroup,key_18161,key_18071,SkillGroup
SkillGroup,,,SkillGroup
SkillGroup,key_17998,key_18072,SkillGroup
SkillGroup,key_17806,key_18073,SkillGroup
SkillGroup,key_17885,key_18074,SkillGroup
SkillGroup,key_17923,key_18075,SkillGroup
SkillGroup,key_17778,key_18076,SkillGroup
SkillGroup,key_17958,key_18077,SkillGroup
SkillGroup,key_17855,key_18078,SkillGroup
SkillGroup,key_17964,key_18079,SkillGroup
SkillGroup,key_17819,key_18080,SkillGroup
SkillGroup,key_17897,key_18081,SkillGroup
SkillGroup,key_17823,key_18082,SkillGroup
SkillGroup,key_18069,key_18083,SkillGroup
SkillGroup,key_17749,key_18084,SkillGroup
SkillGroup,key_17798,key_18085,SkillGroup
SkillGroup,key_17801,key_18086,SkillGroup
SkillGroup,key_17914,key_18087,SkillGroup
SkillGroup,key_17798,key_18088,SkillGroup
SkillGroup,key_18113,key_18089,SkillGroup
SkillGroup,key_17816,key_18090,SkillGroup
SkillGroup,key_17954,key_18091,SkillGroup
SkillGroup,key_17903,key_18092,SkillGroup
SkillGroup,key_17897,key_18093,SkillGroup
SkillGroup,key_17806,key_18094,SkillGroup
SkillGroup,key_17875,key_18095,SkillGroup
SkillGroup,key_18064,key_18096,SkillGroup
