conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2080075c-0488-4fbf-a786-734dbbef31ce,skill/competence,transversal,maráthština,released,,Maráthský jazyk.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,Jazyky | ovládání jazyků
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20d51474-58e1-4fb3-aec3-57bdc187c5ce,skill/competence,transversal,psát turecky,released,,Vypracovávat písemné texty v turečtině.,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,turečtina
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/214da014-b85e-4bb5-961d-1198a05e6b67,skill/competence,transversal,rozumět psané makedonštině,released,,Číst a chápat psaný text v makedonštině.,http://data.europa.eu/esco/skill/15f261e6-4379-437e-b137-b0c473ae3e74,makedonština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2203ac44-f4a7-4d34-a55f-1af107415988,skill/competence,transversal,rozumět psané paňdžábštině,released,,Číst a chápat psaný text v paňdžábštině.,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,paňdžábština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/222bf50b-6739-48b1-a655-658306c3529f,skill/competence,transversal,psát romsky,released,,Vypracovávat písemné texty v bulharské romštině.,http://data.europa.eu/esco/skill/8ef3eccc-a847-430e-b828-cf178803b8c1,romština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/227accd5-5e70-4cc3-8f1c-3f7b52eb6848,skill/competence,transversal,ústně komunikovat v arabštině,released,,Ústně komunikovat v arabštině.,http://data.europa.eu/esco/skill/33859d93-987c-4caa-a0a9-6159ea7bbc2a,arabština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,knowledge,transversal,černohorština,released,,Černohorský jazyk.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,ovládání jazyků | Jazyky
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/237420c1-1882-4ce0-aa48-41a8e61977e5,skill/competence,transversal,rozumět mluvené vietnamštině,released,,Rozumět mluvené formě vietnamštiny.,http://data.europa.eu/esco/skill/bf60009d-8afb-4306-9b0d-cfe2f66ab08f,vietnamština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,knowledge,transversal,slovenština,released,,Slovenský jazyk. Slovenština je úředním a pracovním jazykem EU.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,Jazyky | ovládání jazyků
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25fcf0ff-1615-44b8-a81a-e6e8ce9deed7,skill/competence,transversal,ústně komunikovat v hindštině,released,,Ústně komunikovat v hindštině.,http://data.europa.eu/esco/skill/d93a7370-bf56-43f5-be54-e108f8ec3107,hindština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2704b00a-5d70-40ad-997d-212b323fb32d,skill/competence,transversal,rozumět psané turečtině,released,,Číst a rozumět textům v turečtině.,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,turečtina
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,knowledge,transversal,dánština,released,,Dánský jazyk. Dánština je úředním a pracovním jazykem EU.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,ovládání jazyků | Jazyky
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2874065e-6ca3-430c-912a-467da3c23704,knowledge,transversal,kurdština,released,,Kurdský jazyk.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,Jazyky | ovládání jazyků
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/29c954f2-ed17-4900-bba5-4cfd294f3680,skill/competence,transversal,ústně komunikovat v turečtině,released,,Ústně komunikovat v turečtině.,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,turečtina
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2abb9db5-350c-444c-8292-0e0b2ce00f9a,skill/competence,transversal,ústně komunikovat v němčině,released,,Ústně komunikovat v němčině.,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,němčina
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ac8e77b-6441-4337-b9a7-ba3d8e270cba,skill/competence,transversal,ústně komunikovat v kazaštině,released,,Ústně komunikovat v kazachštině.,http://data.europa.eu/esco/skill/f37dbb3c-dafc-4835-86d1-de9615626f9b,kazaština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2adb5796-fe66-4971-a57b-b9936a7cab68,skill/competence,transversal,rozumět mluvené malajštině,released,,Rozumět mluvené malajštině.,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,malajština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b7b97d3-9d77-45d4-a254-bb6c3047de78,skill/competence,transversal,ústně komunikovat v perštině,released,,Ústně komunikovat v perštině.,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,perština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ba106ed-4b44-45cf-8626-ff9a952b24ce,skill/competence,transversal,rozumět mluvené telugštině,released,,Rozumět mluvené telugštině.,http://data.europa.eu/esco/skill/64fe09ac-f419-4c04-8997-d1dde2e31bfc,telugština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ce713f2-c684-4fa3-8e56-939e4bfbf4a2,skill/competence,transversal,rozumět mluvené francouzštině,released,,Rozumět mluvené francouzštině.,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,francouzština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2eac15c1-fe9a-4b53-9f4e-b74747d665e5,skill/competence,transversal,rozumět psané malajštině,released,,Číst a rozumět textům v malajštině.,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,malajština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2edc3686-dc8b-498d-a174-a1f91917f86d,skill/competence,transversal,rozumět psané maltštině,released,,Číst a rozumět textům v maltštině.,http://data.europa.eu/esco/skill/cb50f9cd-3638-409b-8f93-befaf17d313e,maltština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2f566fb0-89f0-4d15-bd20-e00c93adff35,skill/competence,transversal,rozumět psané gruzínštině,released,,Číst a rozumět textům v gruzínštině.,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,gruzínština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2f7f7a05-88ec-4c8a-937f-381dce6b00fd,skill/competence,transversal,psát korejsky,released,,Psát texty v korejštině.,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,korejština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3048bf6d-27c7-4dc6-ae4b-e55094cec090,skill/competence,transversal,ústně komunikovat ve finštině,released,,Ústně komunikovat ve finštině.,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,finština
