conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c8a92d4-18b9-4279-898c-ad89233bb511,monitorovat úložiště přísad,released,skill/competence,sector-specific,,Prostřednictvím týdenních záznamů monitorovat stav zásob přísad a data spotřeby s cílem zajistit odpovídající koloběh zásob a snížení množství odpadu.,http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595 | http://data.europa.eu/esco/skill/17447ce4-4c4a-4158-b1ea-03ed5364b4e8 | http://data.europa.eu/esco/skill/5461dd07-62e9-429c-af24-15810a17c230,"monitorovat, kontrolovat a testovat | spravovat plány na skladování organických vedlejších produktů | sledovat skladový prostor"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c9bb265-6ff7-428e-9a72-9c8df75178b8,posuzovat dopad průmyslové činnosti,released,skill/competence,cross-sector,,Analyzovat údaje pro odhad dopadu průmyslových činností na dostupnost zdrojů a kvalitu podzemní vody.,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/d519fadd-85bf-475f-bf14-c53a0290687d | http://data.europa.eu/esco/skill/e541c69c-ea80-4b17-87cb-4001d0b9d303,myslet kriticky | monitorovat environmentální podmínky | posuzovat vliv na životní prostředí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1cf20c3c-027e-45f4-bad1-c91b98726d28,poskytovat informace o geotermálních tepelných čerpadlech,released,skill/competence,sector-specific,,"Poskytovat organizacím a jednotlivcům hledajícím alternativní metody dodávání energie do budov informace o nákladech, přínosech a negativních aspektech instalace a využití geotermálních tepelných čerpadel k dodávkám tepla a o tom, co je třeba brát v úvahu při zvažování nákupu a instalace geotermálních tepelných čerpadel.",http://data.europa.eu/esco/skill/732cb4dd-af91-4c88-9a9f-5fc62144e500 | http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,poskytovat informace | radit ostatním
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d4ddf05-510a-424a-85d3-2305558665c5,provádět výzkum pro účely projektů k využití energie oceánů,released,skill/competence,sector-specific,,Provádět výzkum projektů v oblasti energetiky vln a přílivu a rozvíjet projekty od koncepce až po dodání.,http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,provádět akademický výzkum nebo průzkum trhu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1de91358-6ad3-4513-b975-396c61cf8858,poskytovat poradenství v oblasti zabudovaných ventilačních systémů,released,skill/competence,sector-specific,poradenství v oblasti přirozeného větrání pro letní noční chlazení,"Vyhledávat vhodný ventilační systém tak, aby splňoval energetické požadavky, ale rovněž zajišťoval dobrou kvalitu vnitřního ovzduší podle minimální úrovně kvality ovzduší ve vnitřních prostorách, a poskytovat v této věci poradenství. Zvážit alternativní způsoby větrání (např. větrání šachtou, využití komínového efektu, přírodní větrání).
	",http://data.europa.eu/esco/skill/eb6cc4ba-4bb8-4348-9a3b-dc419558f66a,poskytovat poradenství ohledně navrhování nebo používání technologií
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1e2e8415-0a45-466b-ba7b-25c0e72538c1,provést studii proveditelnosti týkající se dálkového vytápění a chlazení,released,skill/competence,sector-specific,,"Provádět hodnocení a posuzování potenciálu systému dálkového vytápění a chlazení. Realizovat standardizovanou studii s cílem určit náklady, omezení a náročnost budovy na vytápění a chlazení a provádět výzkum na podporu procesu rozhodování.
	",http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06 | http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702,analyzovat obchodní operace | provádět studii proveditelnosti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1e3222fa-724d-41f0-9b0a-e88d1003cd35,provést studii proveditelnosti týkající se solárního absorpčního chlazení,released,skill/competence,sector-specific,,"Hodnotit a posuzovat potenciál zavedení solárního chlazení. Provést standardizovanou studii s cílem odhadnout potřeby budovy z hlediska chlazení, nákladů, výhod a analýzy životního cyklu, a provést výzkum na podporu procesu rozhodování.
	",http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06 | http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702,analyzovat obchodní operace | provádět studii proveditelnosti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ead478f-4e9d-4aa7-a728-823fc1e894f5,posuzovat druhy odpadů,released,skill/competence,sector-specific,,"Identifikovat odpadní materiály při sběru a třídění s cílem posoudit, zda je třeba je recyklovat, zlikvidovat nebo jinak zpracovat.
	",http://data.europa.eu/esco/skill/485b2e3b-f883-46d8-901f-ab521d4f8e58,třídit materiály nebo výrobky
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ee7d019-9226-4844-925f-a8a8c4db3444,koordinovat letištní ekologické zásady,released,skill/competence,sector-specific,koordinovat letištní environmentální zásady,"Řídit a koordinovat letištní ekologické zásady a předpisy s cílem zmírnit dopad letištních aktivit, např. hluk, sníženou kvalitu ovzduší, hustý místní provoz nebo přítomnost nebezpečných materiálů.",http://data.europa.eu/esco/skill/bd70f004-e1d6-43f0-96f1-59c014a4ea01 | http://data.europa.eu/esco/skill/190f64e1-b7b6-4c53-b20b-80f9215ef6ca | http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,koordinovat environmentální činnosti | řídit a koordinovat projekty a zajišťovat nad nimi dohled | zajistit soulad s legislativou v oblasti životního prostředí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1f632076-fd9b-4b18-a9a2-b59a59181d3e,legislativa v oblasti územního plánování měst,released,knowledge,cross-sector,,"Dohody o investicích a o rozvoji měst. Legislativní vývoj v oblasti stavebnictví z hlediska životního prostředí, udržitelnosti a sociálních a finančních záležitostí.",http://data.europa.eu/esco/isced-f/0421,právo
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1fe682ad-b8a2-44bb-a557-7eccf79b2014,obsluhovat zařízení na zpracování recyklovaného odpadu,released,skill/competence,cross-sector,,"Obsluhovat zařízení na zpracování recyklovaného odpadu, jako jsou granulátory, drtiče a balíkovače; zpracovávat a třídit materiály k recyklaci.",http://data.europa.eu/esco/skill/3f1f77a5-9c2d-4b71-afb3-0328d8cbb05e,obsluhovat stroje na těžbu a zpracování surovin
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/203083ca-b051-4c28-8986-fc8731bacee5,udržitelné financování,released,knowledge,sector-specific,,"Proces integrace environmentálních, sociálních a správních aspektů (ESG) při přijímání obchodních nebo investičních rozhodnutí, který vede k dlouhodobému zvýšení investic do udržitelných hospodářských činností a projektů.
	",http://data.europa.eu/esco/isced-f/0412,"peněžnictví, bankovnictví a pojišťovnictví"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21331900-9d2a-4806-9a0c-a1885e16dc3d,provádět analýzu lesa,released,skill/competence,sector-specific,,"Vypracovat zprávy o analýze situace týkající se biologické rozmanitosti a genetických zdrojů v lesnictví.
   ",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,analyzovat vědecká a lékařská data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/214c892e-e236-4e5f-9824-47316528cb42,spravovat stanoviště prospívající zvěři,released,skill/competence,occupation-specific,,Vypracovat a uplatňovat plán řízení stanovišť,http://data.europa.eu/esco/skill/0779d482-4154-4fbb-9a22-d9fd89c39d67 | http://data.europa.eu/esco/skill/a28c96cd-a43d-4143-b992-903356d0923e,"organizovat, plánovat a rozvrhovat práci a činnosti | řídit stanoviště"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/215d64d0-a698-4508-b1b4-3d8a56b3ce9e,vypracovávat strategie v oblasti lesního hospodářství,released,skill/competence,sector-specific,,Vytvářet politiky v oblasti lesnictví s cílem posílit jejich udržitelné řízení a zlepšit komunikaci v souvislosti s lesnickými operacemi. Tyto plány by se měly zabývat otázkami souvisejícími s environmentálními a společenskými změnami.,http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800 | http://data.europa.eu/esco/skill/8ed41305-4abf-4b54-9f8f-0e043d26feba,vypracovat strategii k řešení problémů | vypracovávat politiky a právní předpisy
